Player,Nation,Pos,Age,90s,performance_CrdY,performance_CrdR,performance_2CrdY,performance_Fls,performance_Fld,performance_Off,performance_Crs,performance_Int,performance_TklW,performance_PKwon,performance_PKcon,performance_OG,performance_Recov,aerial_duels_Won,aerial_duels_Lost,aerial_duels_Won%,Matches,Team,Season
Oscar Bobb,no NOR,FW,21-308,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,Manchester City,2024
Vitor Reis,br BRA,DF,19-124,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Manchester City,2024
André Onana,cm CMR,GK,29-044,33.0,0,0,0,0,2,0,0,0,1,0,0,0,33,6,0,100.0,Matches,Manchester United,2024
Bruno Fernandes,pt POR,MF,30-250,31.6,4,2,1,26,38,2,181,25,47,0,0,0,196,21,28,42.9,Matches,Manchester United,2024
Noussair Mazraoui,ma MAR,DF,27-183,30.3,2,0,0,37,23,3,22,34,63,0,1,0,144,48,28,63.2,Matches,Manchester United,2024
Diogo Dalot,pt POR,DF,26-059,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4,Matches,Manchester United,2024
Matthijs de Ligt,nl NED,DF,25-277,23.6,3,0,0,16,12,2,6,33,22,0,2,0,68,58,29,66.7,Matches,Manchester United,2024
Alejandro Garnacho,ar ARG,"MF,FW",20-319,24.2,3,0,0,12,42,10,56,13,18,0,0,0,108,3,24,11.1,Matches,Manchester United,2024
Manuel Ugarte Ribeiro,uy URU,MF,24-035,19.6,10,0,0,39,33,0,7,27,47,0,0,1,122,18,18,50.0,Matches,Manchester United,2024
Rasmus Højlund,dk DEN,FW,22-101,20.4,2,0,0,15,27,11,7,1,1,1,0,0,31,26,87,23.0,Matches,Manchester United,2024
Lisandro Martínez,ar ARG,DF,27-118,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2,Matches,Manchester United,2024
Kobbie Mainoo,eng ENG,MF,20-027,17.7,5,0,0,27,20,2,6,19,27,0,0,0,84,19,30,38.8,Matches,Manchester United,2024
Amad Diallo,ci CIV,"FW,MF",22-309,19.1,3,0,0,19,26,9,40,11,29,1,0,0,101,9,15,37.5,Matches,Manchester United,2024
Harry Maguire,eng ENG,DF,32-072,17.5,7,0,0,17,11,1,3,39,14,0,0,0,59,55,23,70.5,Matches,Manchester United,2024
Casemiro,br BRA,MF,33-082,14.8,3,0,0,17,18,3,19,12,46,0,0,0,89,31,17,64.6,Matches,Manchester United,2024
Joshua Zirkzee,nl NED,"FW,MF",23-359,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0,Matches,Manchester United,2024
Leny Yoro,fr FRA,DF,19-184,12.9,5,0,0,9,2,1,1,18,11,0,0,0,46,16,16,50.0,Matches,Manchester United,2024
Marcus Rashford,eng ENG,"FW,MF",27-197,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7,Matches,Manchester United,2024
Christian Eriksen,dk DEN,MF,33-091,11.5,4,0,0,8,3,0,83,7,9,0,0,0,61,2,6,25.0,Matches,Manchester United,2024
Patrick Dorgu,dk DEN,DF,20-202,7.4,3,1,0,14,23,3,31,4,19,0,0,0,27,12,7,63.2,Matches,Manchester United,2024
Mason Mount,eng ENG,MF,26-126,5.4,3,0,0,15,7,0,9,3,4,0,0,0,16,4,7,36.4,Matches,Manchester United,2024
Victor Lindelöf,se SWE,DF,30-303,5.8,1,0,0,7,1,0,1,7,2,0,0,0,16,12,13,48.0,Matches,Manchester United,2024
Harry Amass,eng ENG,DF,18-061,3.8,0,0,0,2,4,1,9,2,2,0,0,0,26,7,6,53.8,Matches,Manchester United,2024
Jonny Evans,nir NIR,DF,37-133,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches,Manchester United,2024
Altay Bayındır,tr TUR,GK,27-032,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches,Manchester United,2024
Luke Shaw,eng ENG,DF,29-308,3.0,1,0,0,3,0,0,10,2,3,0,0,1,9,3,2,60.0,Matches,Manchester United,2024
Tyler Fredricson,eng ENG,DF,20-082,1.8,0,0,0,0,2,0,0,1,3,0,0,0,12,7,5,58.3,Matches,Manchester United,2024
Tyrell Malacia,nl NED,DF,25-272,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,,Matches,Manchester United,2024
Chidozie Obi-Martin,dk DEN,FW,17-168,1.7,1,0,0,3,1,0,0,0,1,0,0,0,9,1,4,20.0,Matches,Manchester United,2024
Ayden Heaven,eng ENG,DF,18-236,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3,Matches,Manchester United,2024
Toby Collyer,eng ENG,MF,21-133,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Matches,Manchester United,2024
Antony,br BRA,"DF,MF",25-081,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0,Matches,Manchester United,2024
Scott McTominay,sct SCO,MF,28-159,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,Manchester United,2024
Bruno Guimarães,br BRA,MF,27-181,34.3,7,0,0,59,102,2,26,28,43,0,0,0,172,18,18,50.0,Matches,Newcastle United,2024
Dan Burn,eng ENG,DF,33-007,35.0,10,0,0,31,11,5,3,26,20,0,0,2,98,136,66,67.3,Matches,Newcastle United,2024
Alexander Isak,se SWE,FW,25-237,29.6,1,0,0,26,14,20,15,3,5,1,0,0,55,26,53,32.9,Matches,Newcastle United,2024
Fabian Schär,ch SUI,DF,33-147,30.6,8,1,0,33,13,4,10,41,21,0,0,0,129,46,62,42.6,Matches,Newcastle United,2024
Valentino Livramento,eng ENG,DF,22-185,29.6,1,0,0,6,34,2,45,21,36,0,0,0,177,23,33,41.1,Matches,Newcastle United,2024
Joelinton,br BRA,"MF,FW",28-275,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,Matches,Newcastle United,2024
Jacob Murphy,eng ENG,FW,30-081,24.8,4,0,0,11,15,3,113,12,16,1,0,0,94,4,16,20.0,Matches,Newcastle United,2024
Sandro Tonali,it ITA,MF,25-008,27.2,5,0,0,37,46,2,34,33,30,1,0,0,166,12,12,50.0,Matches,Newcastle United,2024
Nick Pope,eng ENG,GK,33-027,26.0,2,0,0,2,5,0,0,1,0,0,2,0,22,11,1,91.7,Matches,Newcastle United,2024
Anthony Gordon,eng ENG,FW,24-081,25.5,2,0,0,20,68,8,122,6,17,1,0,0,95,7,7,50.0,Matches,Newcastle United,2024
Lewis Hall,eng ENG,DF,20-250,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2,Matches,Newcastle United,2024
Harvey Barnes,eng ENG,FW,27-158,17.7,0,0,0,12,21,5,44,6,9,0,0,0,52,5,15,25.0,Matches,Newcastle United,2024
Kieran Trippier,eng ENG,DF,34-239,14.2,1,0,0,16,11,2,79,12,20,0,0,0,65,21,15,58.3,Matches,Newcastle United,2024
Joe Willock,eng ENG,"MF,FW",25-269,11.4,3,0,0,22,13,3,16,6,16,0,0,0,40,5,14,26.3,Matches,Newcastle United,2024
Martin Dúbravka,sk SVK,GK,36-121,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,Matches,Newcastle United,2024
Sean Longstaff,eng ENG,MF,27-198,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0,Matches,Newcastle United,2024
Lloyd Kelly,eng ENG,DF,26-222,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Matches,Newcastle United,2024
Sven Botman,nl NED,DF,25-124,3.2,1,0,0,4,4,0,0,5,6,0,0,0,8,13,7,65.0,Matches,Newcastle United,2024
Emil Krafth,se SWE,DF,30-287,3.5,1,0,0,4,1,0,1,2,2,0,0,0,19,7,8,46.7,Matches,Newcastle United,2024
Callum Wilson,eng ENG,FW,33-078,3.2,1,0,0,3,1,3,2,1,2,0,0,0,10,2,14,12.5,Matches,Newcastle United,2024
Lewis Miley,eng ENG,MF,19-015,3.2,0,0,0,3,1,0,0,2,10,0,0,0,16,5,6,45.5,Matches,Newcastle United,2024
Miguel Almirón,py PAR,FW,31-095,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0,Matches,Newcastle United,2024
William Osula,dk DEN,FW,21-285,1.2,0,0,0,2,1,1,1,4,0,0,0,0,2,4,1,80.0,Matches,Newcastle United,2024
Matt Targett,eng ENG,DF,29-240,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,Matches,Newcastle United,2024
Matz Sels,be BEL,GK,33-079,36.0,4,0,0,1,10,0,0,0,1,0,1,0,12,14,2,87.5,Matches,Nottingham Forest,2024
Nikola Milenković,rs SRB,DF,27-216,35.0,4,0,0,18,4,1,0,25,27,0,0,0,76,97,37,72.4,Matches,Nottingham Forest,2024
Murillo,br BRA,DF,22-316,33.4,5,0,0,25,4,0,12,32,36,0,1,0,134,43,21,67.2,Matches,Nottingham Forest,2024
Ola Aina,ng NGA,DF,28-220,31.4,4,0,0,21,35,2,50,31,41,0,1,0,180,13,19,40.6,Matches,Nottingham Forest,2024
Chris Wood,nz NZL,FW,33-160,30.9,1,0,0,25,22,26,1,5,4,0,0,0,46,92,134,40.7,Matches,Nottingham Forest,2024
Morgan Gibbs-White,eng ENG,MF,25-109,29.2,11,1,1,36,37,7,40,21,21,1,0,0,120,39,50,43.8,Matches,Nottingham Forest,2024
Elliot Anderson,eng ENG,MF,22-191,28.4,8,0,0,45,57,4,78,30,52,0,0,0,200,54,27,66.7,Matches,Nottingham Forest,2024
Anthony Elanga,se SWE,"FW,MF",23-019,25.8,1,0,0,8,40,16,170,6,13,0,0,0,86,24,35,40.7,Matches,Nottingham Forest,2024
Neco Williams,wls WAL,DF,24-033,26.8,7,0,0,24,40,1,52,25,48,0,0,0,101,37,29,56.1,Matches,Nottingham Forest,2024
Callum Hudson-Odoi,eng ENG,"FW,MF",24-190,23.9,2,0,0,12,22,8,75,13,14,1,0,0,91,3,10,23.1,Matches,Nottingham Forest,2024
Nicolás Domínguez,ar ARG,"MF,FW",26-322,20.1,9,0,0,33,17,1,6,29,40,0,0,0,105,22,22,50.0,Matches,Nottingham Forest,2024
Ryan Yates,eng ENG,MF,27-176,21.0,10,0,0,52,49,6,5,26,21,0,0,0,97,45,30,60.0,Matches,Nottingham Forest,2024
Álex Moreno,es ESP,"DF,MF",31-342,10.6,2,0,0,12,6,0,19,15,18,0,0,0,50,3,11,21.4,Matches,Nottingham Forest,2024
Morato,br BRA,DF,23-320,10.0,4,0,0,11,2,0,0,10,13,0,0,0,34,6,14,30.0,Matches,Nottingham Forest,2024
Jota Silva,pt POR,"FW,MF",25-288,9.4,5,0,0,24,23,8,21,12,13,1,0,0,42,21,28,42.9,Matches,Nottingham Forest,2024
Ibrahim Sangaré,ci CIV,MF,27-165,5.0,3,0,0,13,6,0,2,4,13,0,0,0,35,7,9,43.8,Matches,Nottingham Forest,2024
James Ward-Prowse,eng ENG,MF,30-196,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5,Matches,Nottingham Forest,2024
Danilo,br BRA,"MF,FW",24-017,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0,Matches,Nottingham Forest,2024
Taiwo Awoniyi,ng NGA,FW,27-277,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5,Matches,Nottingham Forest,2024
Ramón Sosa,py PAR,"FW,MF",25-258,3.3,1,0,0,6,8,3,8,4,3,0,0,0,25,4,7,36.4,Matches,Nottingham Forest,2024
Willy Boly,ci CIV,DF,34-102,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,Matches,Nottingham Forest,2024
Harry Toffolo,eng ENG,DF,29-270,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0,Matches,Nottingham Forest,2024
Eric da Silva Moreira,de GER,"MF,DF",19-013,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,,Matches,Nottingham Forest,2024
Kyle Walker-Peters,eng ENG,DF,28-033,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4,Matches,Southampton,2024
Mateus Fernandes,pt POR,MF,20-310,30.3,8,0,0,44,55,4,105,26,46,0,0,0,169,14,9,60.9,Matches,Southampton,2024
Taylor Harwood-Bellis,eng ENG,DF,23-106,30.5,9,0,0,35,14,0,10,30,19,0,0,0,121,60,45,57.1,Matches,Southampton,2024
Jan Bednarek,pl POL,DF,29-034,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7,Matches,Southampton,2024
Aaron Ramsdale,eng ENG,GK,27-002,28.0,2,0,0,1,4,0,0,2,0,0,0,0,20,6,0,100.0,Matches,Southampton,2024
Flynn Downes,eng ENG,MF,26-116,21.9,11,0,0,47,36,0,3,31,24,0,0,0,76,16,13,55.2,Matches,Southampton,2024
Joe Aribo,ng NGA,"MF,DF",28-299,21.7,1,0,0,20,28,1,10,20,33,0,1,0,111,25,21,54.3,Matches,Southampton,2024
Tyler Dibling,eng ENG,"FW,MF",19-065,20.1,6,0,0,29,50,2,28,8,20,2,0,0,79,10,21,32.3,Matches,Southampton,2024
Ryan Manning,ie IRL,"DF,MF",28-336,16.2,2,0,0,19,32,0,84,17,17,0,0,0,65,15,6,71.4,Matches,Southampton,2024
Lesley Ugochukwu,fr FRA,MF,21-051,17.4,7,0,0,31,15,0,6,14,24,0,1,0,63,20,17,54.1,Matches,Southampton,2024
Jack Stephens,eng ENG,DF,31-109,14.4,2,2,0,12,4,1,1,11,19,0,1,0,43,6,10,37.5,Matches,Southampton,2024
Yukinari Sugawara,jp JPN,"DF,MF",24-322,16.3,4,0,0,15,9,4,69,10,16,0,2,0,40,5,9,35.7,Matches,Southampton,2024
Kamaldeen Sulemana,gh GHA,"FW,MF",23-090,14.1,2,0,0,20,11,3,25,6,15,0,0,0,54,10,25,28.6,Matches,Southampton,2024
Adam Armstrong,eng ENG,"FW,MF",28-095,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches,Southampton,2024
Cameron Archer,eng ENG,FW,23-299,15.5,0,0,0,16,12,8,3,2,7,0,0,0,34,8,30,21.1,Matches,Southampton,2024
James Bree,eng ENG,DF,27-217,10.9,0,0,0,2,5,0,27,8,13,0,0,0,62,12,7,63.2,Matches,Southampton,2024
Paul Onuachu,ng NGA,FW,30-353,11.4,4,0,0,28,16,9,0,1,2,0,0,0,17,90,56,61.6,Matches,Southampton,2024
Nathan Wood-Gordon,eng ENG,DF,22-350,6.9,2,0,0,8,4,0,3,4,7,0,0,0,20,11,7,61.1,Matches,Southampton,2024
William Smallbone,ie IRL,MF,25-084,7.2,1,0,0,11,3,0,34,2,11,0,1,0,23,4,2,66.7,Matches,Southampton,2024
Alex McCarthy,eng ENG,GK,35-164,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,Matches,Southampton,2024
Adam Lallana,eng ENG,MF,37-006,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0,Matches,Southampton,2024
Ben Brereton,cl CHI,FW,26-028,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches,Southampton,2024
Ryan Fraser,sct SCO,"FW,DF",31-081,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,Matches,Southampton,2024
Welington,br BRA,"DF,MF",24-086,3.4,1,0,0,3,5,0,11,6,5,0,1,0,17,2,3,40.0,Matches,Southampton,2024
Ross Stewart,sct SCO,FW,28-309,3.2,1,0,0,7,5,1,0,0,2,0,0,0,2,10,16,38.5,Matches,Southampton,2024
Joe Lumley,eng ENG,GK,30-090,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches,Southampton,2024
Armel Bella Kotchap,de GER,DF,23-156,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,Matches,Southampton,2024
Charlie Taylor,eng ENG,DF,31-240,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7,Matches,Southampton,2024
Albert Grønbaek,dk DEN,"FW,MF",23-358,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0,Matches,Southampton,2024
Maxwel Cornet,ci CIV,FW,28-231,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0,Matches,Southampton,2024
Samuel Edozie,eng ENG,"DF,FW",22-108,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches,Southampton,2024
Jay Robinson,eng ENG,"MF,FW",18-062,0.4,0,0,0,1,1,0,0,0,1,0,0,0,5,0,1,0.0,Matches,Southampton,2024
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18-302,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches,Southampton,2024
Ronnie Edwards,eng ENG,DF,22-049,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Southampton,2024
Carlos Alcaraz,ar ARG,MF,22-167,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches,Southampton,2024
Pedro Porro,es ESP,DF,25-245,28.0,4,0,0,24,31,1,194,34,46,0,0,0,148,11,22,33.3,Matches,Tottenham Hotspur,2024
Dejan Kulusevski,se SWE,"MF,FW",25-021,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40.0,Matches,Tottenham Hotspur,2024
Dominic Solanke,eng ENG,FW,27-244,23.5,0,0,0,36,36,5,4,0,11,0,0,1,37,44,59,42.7,Matches,Tottenham Hotspur,2024
Brennan Johnson,wls WAL,FW,23-358,23.1,5,0,0,26,25,12,52,4,26,2,0,0,60,7,20,25.9,Matches,Tottenham Hotspur,2024
Guglielmo Vicario,it ITA,GK,28-221,23.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0,Matches,Tottenham Hotspur,2024
Son Heung-min,kr KOR,FW,32-312,22.6,1,0,0,6,28,12,76,5,9,1,0,0,81,6,12,33.3,Matches,Tottenham Hotspur,2024
Destiny Udogie,it ITA,DF,22-169,20.4,2,0,0,29,38,2,19,21,47,0,0,1,109,13,13,50.0,Matches,Tottenham Hotspur,2024
James Maddison,eng ENG,MF,28-174,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7,Matches,Tottenham Hotspur,2024
Pape Matar Sarr,sn SEN,MF,22-244,20.2,6,0,0,31,35,2,14,27,35,0,1,0,109,31,42,42.5,Matches,Tottenham Hotspur,2024
Rodrigo Bentancur,uy URU,MF,27-325,17.4,8,0,0,32,10,1,4,36,20,0,0,0,115,36,29,55.4,Matches,Tottenham Hotspur,2024
Djed Spence,eng ENG,DF,24-280,18.8,4,1,1,20,23,2,25,20,33,0,0,1,108,21,13,61.8,Matches,Tottenham Hotspur,2024
Cristian Romero,ar ARG,DF,27-019,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,Matches,Tottenham Hotspur,2024
Archie Gray,eng ENG,"DF,MF",19-065,17.5,0,0,0,12,11,0,16,15,8,0,0,1,65,10,9,52.6,Matches,Tottenham Hotspur,2024
Yves Bissouma,ml MLI,MF,28-259,14.9,7,0,0,26,18,0,2,17,30,0,1,0,81,7,7,50.0,Matches,Tottenham Hotspur,2024
Radu Drăgușin,ro ROU,DF,23-102,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,Matches,Tottenham Hotspur,2024
Ben Davies,wls WAL,DF,32-022,13.5,4,0,0,16,7,0,4,12,11,0,0,0,40,51,42,54.8,Matches,Tottenham Hotspur,2024
Lucas Bergvall,se SWE,MF,19-103,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,Matches,Tottenham Hotspur,2024
Micky van de Ven,nl NED,DF,24-027,10.6,4,0,0,10,8,0,0,10,6,0,0,0,61,19,18,51.4,Matches,Tottenham Hotspur,2024
Mathys Tel,fr FRA,FW,20-019,8.2,1,0,0,9,12,1,31,1,5,0,0,0,35,4,3,57.1,Matches,Tottenham Hotspur,2024
Wilson Odobert,fr FRA,FW,20-169,8.0,0,0,0,1,3,1,25,3,4,0,0,0,30,3,7,30.0,Matches,Tottenham Hotspur,2024
Kevin Danso,at AUT,DF,26-239,7.4,0,0,0,7,11,0,1,3,5,0,0,0,24,20,9,69.0,Matches,Tottenham Hotspur,2024
Fraser Forster,eng ENG,GK,37-060,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,Tottenham Hotspur,2024
Antonín Kinský,cz CZE,GK,22-064,5.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0,Matches,Tottenham Hotspur,2024
Timo Werner,de GER,"FW,MF",29-071,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0,Matches,Tottenham Hotspur,2024
Richarlison,br BRA,FW,28-006,5.3,2,0,0,6,13,3,7,0,3,0,0,0,10,9,22,29.0,Matches,Tottenham Hotspur,2024
Mikey Moore,eng ENG,FW,17-278,3.1,0,0,0,3,5,3,15,1,0,0,0,0,10,1,5,16.7,Matches,Tottenham Hotspur,2024
Brandon Austin,eng ENG,GK,26-128,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,Matches,Tottenham Hotspur,2024
Sergio Reguilón,es ESP,DF,28-151,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4,Matches,Tottenham Hotspur,2024
Dane Scarlett,eng ENG,"FW,MF",21-053,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0,Matches,Tottenham Hotspur,2024
Alfie Dorrington,eng ENG,DF,20-026,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,Tottenham Hotspur,2024
Will Lankshear,eng ENG,"FW,MF",20-026,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Matches,Tottenham Hotspur,2024
Max Kilman,eng ENG,DF,27-358,35.2,4,0,0,22,13,2,3,38,22,0,0,0,143,109,53,67.3,Matches,West Ham United,2024
Aaron Wan-Bissaka,eng ENG,DF,27-171,33.0,1,0,0,24,26,5,70,61,47,0,0,1,164,22,31,41.5,Matches,West Ham United,2024
Jarrod Bowen,eng ENG,"FW,MF",28-147,31.0,1,0,0,19,50,10,104,16,25,0,0,0,122,12,46,20.7,Matches,West Ham United,2024
Mohammed Kudus,gh GHA,"FW,MF",24-287,27.7,2,1,0,39,60,18,76,4,21,0,0,0,131,10,38,20.8,Matches,West Ham United,2024
Tomáš Souček,cz CZE,MF,30-078,26.9,8,0,0,44,24,4,13,19,20,1,0,0,59,98,69,58.7,Matches,West Ham United,2024
Lucas Paquetá,br BRA,"MF,FW",27-262,26.0,9,0,0,52,62,6,28,17,37,0,1,0,146,48,57,45.7,Matches,West Ham United,2024
Emerson Palmieri,it ITA,DF,30-286,23.5,5,0,0,25,13,0,64,21,31,0,0,0,84,18,20,47.4,Matches,West Ham United,2024
Alphonse Areola,fr FRA,GK,32-078,24.1,0,0,0,0,0,0,0,0,2,0,0,1,28,2,0,100.0,Matches,West Ham United,2024
Konstantinos Mavropanos,gr GRE,DF,27-156,21.7,6,1,1,17,14,3,2,39,22,0,0,0,70,56,24,70.0,Matches,West Ham United,2024
Edson Álvarez,mx MEX,MF,27-204,18.4,8,1,1,38,18,4,6,17,23,0,0,0,81,28,21,57.1,Matches,West Ham United,2024
Jean-Clair Todibo,fr FRA,DF,25-137,18.3,2,0,0,11,6,0,3,23,24,0,0,0,70,23,24,48.9,Matches,West Ham United,2024
Guido Rodríguez,ar ARG,MF,31-034,12.0,5,0,0,16,11,2,4,12,17,0,0,0,50,9,7,56.3,Matches,West Ham United,2024
Carlos Soler,es ESP,"MF,FW",28-134,15.3,5,0,0,24,18,0,31,8,11,0,0,0,64,9,11,45.0,Matches,West Ham United,2024
Łukasz Fabiański,pl POL,GK,40-028,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,Matches,West Ham United,2024
Michail Antonio,jm JAM,FW,35-049,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6,Matches,West Ham United,2024
Vladimír Coufal,cz CZE,DF,32-267,10.6,4,0,0,21,14,0,23,8,12,0,0,1,33,21,13,61.8,Matches,West Ham United,2024
James Ward-Prowse,eng ENG,MF,30-196,10.0,2,0,0,10,2,0,42,6,13,0,0,0,47,7,5,58.3,Matches,West Ham United,2024
Aaron Cresswell,eng ENG,DF,35-152,8.5,3,0,0,4,2,0,33,8,7,0,0,0,35,7,7,50.0,Matches,West Ham United,2024
Crysencio Summerville,nl NED,"FW,MF",23-198,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Matches,West Ham United,2024
Oliver Scarles,eng ENG,DF,19-155,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0,Matches,West Ham United,2024
Niclas Füllkrug,de GER,FW,32-096,7.6,2,0,0,20,5,9,1,1,2,0,0,0,15,32,48,40.0,Matches,West Ham United,2024
Danny Ings,eng ENG,"FW,MF",32-297,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches,West Ham United,2024
Andy Irving,sct SCO,MF,25-003,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0,Matches,West Ham United,2024
Evan Ferguson,ie IRL,FW,20-209,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3,Matches,West Ham United,2024
Luis Guilherme,br BRA,"MF,FW",19-096,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7,Matches,West Ham United,2024
Lewis Orford,eng ENG,MF,19-087,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0,Matches,West Ham United,2024
Kaelan Casey,eng ENG,DF,20-200,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,West Ham United,2024
Rayan Aït-Nouri,dz ALG,DF,23-344,32.8,7,1,1,30,42,5,88,25,55,0,0,0,140,21,28,42.9,Matches,Wolverhampton Wanderers,2024
João Gomes,br BRA,MF,24-093,31.5,10,1,1,68,43,1,28,25,62,0,0,0,182,9,24,27.3,Matches,Wolverhampton Wanderers,2024
Nélson Semedo,pt POR,DF,31-181,30.6,7,0,0,45,29,4,62,23,34,0,1,0,129,27,41,39.7,Matches,Wolverhampton Wanderers,2024
Jørgen Strand Larsen,no NOR,FW,25-099,27.7,4,0,0,46,18,14,6,6,6,0,0,0,42,66,96,40.7,Matches,Wolverhampton Wanderers,2024
André,br BRA,MF,23-304,26.0,7,0,0,35,33,0,0,35,53,0,1,0,187,2,6,25.0,Matches,Wolverhampton Wanderers,2024
José Sá,pt POR,GK,32-119,28.0,2,0,0,4,8,0,0,0,2,0,4,0,35,10,1,90.9,Matches,Wolverhampton Wanderers,2024
Matheus Cunha,br BRA,"MF,FW",25-354,27.6,4,0,0,42,70,8,132,17,21,0,1,0,123,10,28,26.3,Matches,Wolverhampton Wanderers,2024
Toti Gomes,pt POR,DF,26-120,27.0,6,0,0,23,14,4,13,24,41,0,1,0,104,49,25,66.2,Matches,Wolverhampton Wanderers,2024
Matt Doherty,ie IRL,DF,33-120,22.5,6,0,0,18,11,2,20,22,20,0,0,1,101,50,20,71.4,Matches,Wolverhampton Wanderers,2024
Jean-Ricner Bellegarde,fr FRA,"MF,FW",26-323,17.6,3,0,0,29,43,1,41,10,22,0,0,0,58,10,18,35.7,Matches,Wolverhampton Wanderers,2024
Santiago Bueno,uy URU,DF,26-188,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0,Matches,Wolverhampton Wanderers,2024
