Player,Nation,Pos,Age,playing_time_MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,MP
Noni Madueke,eng ENG,FW,23-067,30.0,25,1858.0,20.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,4.2,13.3,144.0,66.0,214.0,0.34,0.15,0.48,0.34,0.48,0.44,0.2,0.64,0.44,0.64,Matches,Chelsea,2024,
Pedro Neto,pt POR,FW,25-068,33.0,22,2103.0,23.4,4.0,5.0,9.0,4.0,0.0,0.0,8.0,0.0,3.1,3.1,6.1,9.2,119.0,59.0,241.0,0.17,0.21,0.39,0.17,0.39,0.13,0.26,0.4,0.13,0.4,Matches,Chelsea,2024,
Malo Gusto,fr FRA,DF,21-362,30.0,19,1848.0,20.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.4,3.1,49.0,119.0,84.0,0.0,0.05,0.05,0.0,0.05,0.08,0.07,0.15,0.08,0.15,Matches,Chelsea,2024,
Jadon Sancho,eng ENG,FW,25-052,30.0,18,1703.0,18.9,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,3.7,5.8,100.0,88.0,221.0,0.16,0.21,0.37,0.16,0.37,0.11,0.19,0.31,0.11,0.31,Matches,Chelsea,2024,
Wesley Fofana,fr FRA,DF,24-150,14.0,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,19.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06,Matches,Chelsea,2024,
Tosin Adarabioyo,eng ENG,DF,27-234,20.0,13,1229.0,13.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.2,1.1,5.0,37.0,1.0,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches,Chelsea,2024,
Trevoh Chalobah,eng ENG,DF,25-315,13.0,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,4.0,37.0,2.0,0.0,0.1,0.1,0.0,0.1,0.08,0.12,0.19,0.08,0.19,Matches,Chelsea,2024,
Roméo Lavia,be BEL,MF,21-130,14.0,11,758.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,3.0,31.0,7.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,Matches,Chelsea,2024,
Reece James,eng ENG,"DF,MF",25-159,17.0,10,883.0,9.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,6.0,55.0,12.0,0.1,0.0,0.1,0.1,0.1,0.04,0.06,0.09,0.04,0.09,Matches,Chelsea,2024,
Christopher Nkunku,fr FRA,FW,27-183,27.0,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.8,4.8,2.1,6.9,17.0,25.0,68.0,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches,Chelsea,2024,
Filip Jørgensen,dk DEN,GK,23-030,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,
Axel Disasi,fr FRA,DF,27-066,6.0,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,6.0,16.0,2.0,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches,Chelsea,2024,
João Félix,pt POR,"FW,MF",25-187,12.0,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.2,21.0,26.0,30.0,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches,Chelsea,2024,
Benoît Badiashile,fr FRA,DF,24-051,5.0,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-252,12.0,2,259.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,5.0,14.0,11.0,0.0,0.35,0.35,0.0,0.35,0.08,0.37,0.45,0.08,0.45,Matches,Chelsea,2024,
Joshua Acheampong,eng ENG,DF,19-011,4.0,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Chelsea,2024,
Renato Veiga,pt POR,"DF,MF",21-291,7.0,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Chelsea,2024,
Mykhailo Mudryk,ua UKR,FW,24-131,7.0,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,Matches,Chelsea,2024,
Tyrique George,eng ENG,FW,19-101,7.0,0,103.0,1.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,9.0,2.0,18.0,0.87,0.87,1.75,0.87,1.75,0.17,0.63,0.8,0.17,0.8,Matches,Chelsea,2024,
Marc Guiu,es ESP,FW,19-132,3.0,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Chelsea,2024,
Mathis Amougou,fr FRA,MF,19-118,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,
Shumaira Mheuka,eng ENG,MF,17-208,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,Matches,Chelsea,2024,
Aaron Anselmino,ar ARG,DF,20-017,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
Genesis Antwi,se SWE,MF,18-005,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
Marcus Bettinelli,eng ENG,GK,32-357,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
Cesare Casadei,it ITA,MF,22-126,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
Samuel Rak-Sakyi,eng ENG,MF,20-050,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
Ishé Samuels-Smith,eng ENG,DF,18-345,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
Dean Henderson,eng ENG,GK,28-065,36.0,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
Tyrick Mitchell,eng ENG,DF,25-257,36.0,36,3002.0,33.4,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,5.8,7.2,56.0,66.0,169.0,0.0,0.12,0.12,0.0,0.12,0.04,0.18,0.21,0.04,0.21,Matches,Crystal Palace,2024,
Daniel Muñoz,co COL,DF,28-355,35.0,35,3048.0,33.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,4.9,4.9,5.4,10.3,57.0,93.0,199.0,0.12,0.15,0.27,0.12,0.27,0.14,0.16,0.3,0.14,0.3,Matches,Crystal Palace,2024,
Marc Guéhi,eng ENG,DF,24-307,34.0,34,3059.0,34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,2.0,2.0,1.7,3.7,22.0,134.0,10.0,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,Matches,Crystal Palace,2024,
Maxence Lacroix,fr FRA,DF,25-040,33.0,33,2936.0,32.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.4,3.4,0.8,4.2,8.0,63.0,7.0,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13,Matches,Crystal Palace,2024,
Jean-Philippe Mateta,fr FRA,FW,27-322,35.0,32,2577.0,28.6,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,12.7,11.1,3.2,14.3,41.0,51.0,120.0,0.49,0.07,0.56,0.42,0.49,0.44,0.11,0.55,0.39,0.5,Matches,Crystal Palace,2024,
Eberechi Eze,eng ENG,"MF,FW",26-321,32.0,30,2517.0,28.0,7.0,8.0,15.0,6.0,1.0,2.0,1.0,0.0,10.2,8.7,5.3,13.9,67.0,94.0,150.0,0.25,0.29,0.54,0.21,0.5,0.37,0.19,0.55,0.31,0.5,Matches,Crystal Palace,2024,
Ismaila Sarr,sn SEN,MF,27-080,36.0,28,2559.0,28.4,7.0,5.0,12.0,7.0,0.0,0.0,4.0,0.0,9.8,9.8,7.8,17.6,71.0,81.0,175.0,0.25,0.18,0.42,0.25,0.42,0.34,0.27,0.62,0.34,0.62,Matches,Crystal Palace,2024,
Jefferson Lerma,co COL,"MF,DF",30-203,31.0,24,2094.0,23.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.1,1.1,1.5,2.6,12.0,94.0,26.0,0.0,0.04,0.04,0.0,0.04,0.05,0.07,0.11,0.05,0.11,Matches,Crystal Palace,2024,
Will Hughes,eng ENG,MF,30-029,31.0,22,1985.0,22.1,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,1.1,1.1,3.1,4.1,19.0,85.0,26.0,0.0,0.14,0.14,0.0,0.14,0.05,0.14,0.19,0.05,0.19,Matches,Crystal Palace,2024,
Chris Richards,us USA,DF,25-049,22.0,20,1742.0,19.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.3,1.3,0.1,1.4,6.0,37.0,2.0,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.07,0.07,0.07,Matches,Crystal Palace,2024,
Adam Wharton,eng ENG,MF,20-348,20.0,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,Matches,Crystal Palace,2024,
Daichi Kamada,jp JPN,MF,28-284,32.0,14,1454.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1,1.1,1.9,3.0,24.0,83.0,54.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.07,0.19,Matches,Crystal Palace,2024,
Trevoh Chalobah,eng ENG,DF,25-315,12.0,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,11.0,34.0,6.0,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,Matches,Crystal Palace,2024,
Eddie Nketiah,eng ENG,"FW,MF",25-351,27.0,8,925.0,10.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,4.8,4.8,1.6,6.4,39.0,17.0,72.0,0.1,0.1,0.19,0.1,0.19,0.47,0.16,0.62,0.47,0.62,Matches,Crystal Palace,2024,
Nathaniel Clyne,eng ENG,"DF,MF",34-041,13.0,5,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Crystal Palace,2024,
Cheick Doucouré,ml MLI,MF,25-128,13.0,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Crystal Palace,2024,
Justin Devenny,nir NIR,MF,21-217,21.0,4,433.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,4.0,17.0,13.0,0.21,0.0,0.21,0.21,0.21,0.14,0.08,0.22,0.14,0.22,Matches,Crystal Palace,2024,
Odsonne Édouard,fr FRA,"MF,FW",27-120,2.0,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34,Matches,Crystal Palace,2024,
Joachim Andersen,dk DEN,DF,28-350,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Crystal Palace,2024,
Chadi Riad,ma MAR,DF,21-333,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
Ben Chilwell,eng ENG,DF,28-146,7.0,0,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,2.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.39,0.43,0.04,0.43,Matches,Crystal Palace,2024,
Jeffrey Schlupp,gh GHA,"MF,DF",32-144,12.0,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,Crystal Palace,2024,
Romain Esse,eng ENG,MF,20-003,5.0,0,47.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,0.0,3.0,8.0,1.91,0.0,1.91,1.91,1.91,0.6,0.25,0.86,0.6,0.86,Matches,Crystal Palace,2024,
Matheus França,br BRA,"FW,MF",21-045,2.0,0,26.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,2.0,3.46,0.0,3.46,3.46,3.46,0.43,0.0,0.43,0.43,0.43,Matches,Crystal Palace,2024,
Jordan Ayew,gh GHA,"FW,MF",33-247,1.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,Matches,Crystal Palace,2024,
Caleb Kporha,eng ENG,DF,18-305,2.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
Asher Agbinone,eng ENG,MF,19-230,2.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,Matches,Crystal Palace,2024,
Joel Ward,eng ENG,DF,35-199,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
Naouirou Ahamada,fr FRA,MF,23-048,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Rob Holding,eng ENG,DF,29-238,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Sam Johnstone,eng ENG,GK,32-052,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Zachariah Marsh,eng ENG,FW,19-222,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Remi Matthews,eng ENG,GK,31-095,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Kaden Rodney,eng ENG,"DF,MF",20-221,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Matt Turner,us USA,GK,30-326,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Franco Umeh-Chibueze,ie IRL,MF,20-110,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
Jordan Pickford,eng ENG,GK,31-070,36.0,36,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,Everton,2024,
James Tarkowski,eng ENG,DF,32-178,33.0,33,2922.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,2.9,4.2,9.0,75.0,3.0,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches,Everton,2024,
Vitaliy Mykolenko,ua UKR,DF,25-352,33.0,33,2902.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,1.6,2.1,31.0,107.0,92.0,0.03,0.03,0.06,0.03,0.06,0.01,0.05,0.07,0.01,0.07,Matches,Everton,2024,
Idrissa Gana Gueye,sn SEN,MF,35-232,35.0,33,2883.0,32.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.7,2.8,26.0,136.0,24.0,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.09,0.03,0.09,Matches,Everton,2024,
Abdoulaye Doucouré,ml MLI,MF,32-135,31.0,30,2485.0,27.6,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,3.9,3.9,2.3,6.2,42.0,80.0,92.0,0.11,0.07,0.18,0.11,0.18,0.14,0.08,0.22,0.14,0.22,Matches,Everton,2024,
Jarrad Branthwaite,eng ENG,DF,22-323,29.0,27,2438.0,27.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.7,1.8,9.0,64.0,2.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.07,0.04,0.07,Matches,Everton,2024,
Iliman Ndiaye,sn SEN,FW,25-071,31.0,27,2282.0,25.4,7.0,0.0,7.0,5.0,2.0,2.0,3.0,0.0,5.2,3.6,1.6,5.2,81.0,52.0,115.0,0.28,0.0,0.28,0.2,0.2,0.21,0.06,0.27,0.14,0.21,Matches,Everton,2024,
Jack Harrison,eng ENG,FW,28-177,32.0,23,1960.0,21.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.7,7.2,71.0,48.0,121.0,0.05,0.0,0.05,0.05,0.05,0.16,0.17,0.33,0.16,0.33,Matches,Everton,2024,
Dominic Calvert-Lewin,eng ENG,FW,28-061,24.0,19,1589.0,17.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,6.3,6.3,0.6,6.9,22.0,19.0,108.0,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches,Everton,2024,
Ashley Young,eng ENG,"DF,FW",39-311,30.0,18,1712.0,19.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,0.3,0.3,2.1,2.3,21.0,85.0,29.0,0.05,0.16,0.21,0.05,0.21,0.01,0.11,0.12,0.01,0.12,Matches,Everton,2024,
James Garner,eng ENG,"MF,DF",24-064,19.0,15,1414.0,15.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.3,1.6,12.0,47.0,24.0,0.0,0.06,0.06,0.0,0.06,0.02,0.09,0.1,0.02,0.1,Matches,Everton,2024,
Jake O'Brien,ie IRL,DF,24-001,18.0,15,1391.0,15.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.6,1.3,7.0,43.0,24.0,0.13,0.0,0.13,0.13,0.13,0.05,0.04,0.08,0.05,0.08,Matches,Everton,2024,
Jesper Lindstrøm,dk DEN,FW,25-076,25.0,15,1239.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.1,2.1,2.0,4.1,30.0,25.0,81.0,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3,Matches,Everton,2024,
Dwight McNeil,eng ENG,"MF,FW",25-175,19.0,14,1292.0,14.4,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,1.1,1.1,3.9,5.0,37.0,64.0,76.0,0.28,0.35,0.63,0.28,0.63,0.08,0.27,0.35,0.08,0.35,Matches,Everton,2024,
Orel Mangala,be BEL,MF,27-059,19.0,14,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.8,6.0,34.0,19.0,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches,Everton,2024,
Beto,gw GNB,FW,27-105,28.0,13,1357.0,15.1,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,7.0,7.0,0.8,7.8,12.0,12.0,72.0,0.53,0.0,0.53,0.53,0.53,0.46,0.06,0.52,0.46,0.52,Matches,Everton,2024,
Michael Keane,eng ENG,DF,32-125,12.0,10,942.0,10.5,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.6,0.6,0.1,0.7,1.0,12.0,3.0,0.29,0.0,0.29,0.29,0.29,0.06,0.01,0.07,0.06,0.07,Matches,Everton,2024,
Carlos Alcaraz,ar ARG,"FW,MF",22-167,13.0,6,663.0,7.4,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.6,3.1,16.0,40.0,20.0,0.14,0.41,0.54,0.14,0.54,0.2,0.22,0.42,0.2,0.42,Matches,Everton,2024,
Tim Iroegbunam,eng ENG,MF,21-320,18.0,5,574.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,8.0,15.0,9.0,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07,Matches,Everton,2024,
Armando Broja,al ALB,FW,23-248,10.0,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,12.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Everton,2024,
Nathan Patterson,sct SCO,DF,23-212,10.0,3,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,6.0,13.0,18.0,0.0,0.26,0.26,0.0,0.26,0.02,0.11,0.13,0.02,0.13,Matches,Everton,2024,
Séamus Coleman,ie IRL,DF,36-217,4.0,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Everton,2024,
Roman Dixon,eng ENG,DF,20-141,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,2024,
Harrison Armstrong,eng ENG,MF,18-117,3.0,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,Matches,Everton,2024,
Youssef Chermiti,pt POR,"FW,MF",20-357,4.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Everton,2024,
Mason Holgate,eng ENG,"FW,DF",28-206,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,2024,
Callum Bates,eng ENG,MF,19-230,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Asmir Begović,ba BIH,GK,37-330,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Coby Ebere,de GER,MF,19-241,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Isaac Heath,eng ENG,FW,20-200,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Neal Maupay,fr FRA,"FW,MF",28-275,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Jenson Metcalfe,eng ENG,MF,20-252,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Martin Sherif,nl NED,FW,18-340,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
João Virgínia,pt POR,GK,25-218,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,
Bernd Leno,de GER,GK,33-073,,36,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,2024,36.0
Alex Iwobi,ng NGA,"FW,MF",29-013,,34,2886.0,32.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,4.6,4.6,7.0,11.7,140.0,206.0,234.0,0.28,0.19,0.47,0.28,0.47,0.15,0.22,0.36,0.15,0.36,Matches,Fulham,2024,36.0
Antonee Robinson,us USA,DF,27-281,,33,2989.0,33.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,4.1,4.8,114.0,123.0,265.0,0.0,0.3,0.3,0.0,0.3,0.02,0.12,0.15,0.02,0.15,Matches,Fulham,2024,34.0
